"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1416-1038-1-ND","LXML-PR01-0500","LED LUXEON REBEL BLUE 448NM SMD","","1","0","3.19000","3.19"
"2","1","1416-1029-1-ND","LXML-PB01-0040","LED LUXEON REBEL BLUE 470NM SMD","","1","0","4.20000","4.20"
"3","1","1416-1031-1-ND","LXML-PE01-0070","LED LUXEON REBEL CYAN 505NM SMD","","1","0","4.47000","4.47"
"4","1","1416-1036-1-ND","LXML-PM01-0100","LED LUXEON REBEL GREEN 530NM SMD","","1","0","4.49000","4.49"
"5","1","1416-1185-1-ND","LXML-PX02-0000","LED LUXEON REBEL LIME 568NM SMD","","1","0","5.04000","5.04"
"6","1","1416-1027-1-ND","LXM2-PL01-0000","LED LUXEON REBEL AMBER 591NM SMD","","1","0","4.49000","4.49"
"7","1","1416-1026-1-ND","LXM2-PH01-0070","LED LUXEON REBEL ORG 617NM SMD","","1","0","3.52000","3.52"
"8","1","1416-1024-1-ND","LXM2-PD01-0050","LED LUXEON REBEL RED 627NM SMD","","1","0","3.36000","3.36"
"9","1","1416-1701-1-ND","LXM3-PD01","LED LUXEON REBEL RED 655NM SMD","","1","0","3.07000","3.07"
"10","1","1214-XBT-3535-UV-A130-CD270-00CT-ND","XBT-3535-UV-A130-CD270-00","EMITTER UV 270NM MODULE","","1","0","23.77000","23.77"
"11","1","2112-CUN6GF1ACT-ND","CUN6GF1A","367NM CA3535_FLAT PACKAGE","","1","0","9.40000","9.40"
"12","1","1080-1620-1-ND","ELUA3535OGB-P0010U23240500-VD1M","EMITTER UV 405NM 1000MA SMD","","1","0","3.43000","3.43"
"13","1","1516-1213-1-ND","QBHP684-IR4BU","LED IR 740NM 700MA SMD","","1","0","5.51000","5.51"
"14","25","PAM2804AAB010DICT-ND","PAM2804AAB010","IC LED DRIVER RGLTR 1A TSOT25","","25","0","0.55440","13.86"
"15","25","587-1621-1-ND","CBC2518T4R7M","FIXED IND 4.7UH 920MA 260MOHM SM","","25","0","0.17600","4.40"
"16","50","490-3886-1-ND","GRM21BR61C106KE15L","CAP CER 10UF 16V X5R 0805","","50","0","0.07420","3.71"
"17","25","RL12S.20FCT-ND","RL1220S-R20-F","RES 0.2 OHM 1% 1/3W 0805","","25","0","0.17640","4.41"
"18","1","237-1419-ND","WSU050-4000","AC/DC WALL MOUNT ADAPTER 5V 20W","","1","0","16.01000","16.01"
"19","1","1568-1233-ND","DEV-13305","TEENSY-LC KL2X EVAL BRD","","1","0","14.38000","14.38"
"20","2","360-2543-1-ND","FR02KR16P-R","SWITCH ROTARY DIP HEX 100MA 5V","","2","0","3.76000","7.52"
"21","1","1516-1173-1-ND","QBHP684U-IRU","EMITTER IR 850NM 700MA SMD","","1","0","4.66000","4.66"
"22","1","1516-1210-1-ND","QBHP684-IR1BU","LED IR 940NM 700MA SMD","","1","0","4.47000","4.47"